linha_aba,id_lead,coluna,acao,valor
23,21,O,REPLACE,P2
24,22,K,REPLACE,não agendar (frio)
24,22,L,APPEND,FOLLOW-UP 15/09 (P2): Clique PMERJ; sem resposta.
24,22,O,REPLACE,P2
25,23,K,REPLACE,não agendar (frio)
25,23,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome; sem resposta.
25,23,O,REPLACE,P2
26,24,K,REPLACE,não agendar (frio)
26,24,L,APPEND,FOLLOW-UP 15/09 (P2): Clique PMERJ; sem resposta.
26,24,O,REPLACE,P2
27,25,K,REPLACE,não agendar (frio)
27,25,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome; sem resposta.
27,25,O,REPLACE,P2
28,26,K,REPLACE,não agendar (frio)
28,26,L,APPEND,FOLLOW-UP 15/09 (P2): Resposta da equipe ~10h30 após lead; sem resposta seguinte.
28,26,O,REPLACE,P2
29,27,K,REPLACE,não agendar (frio)
29,27,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome; sem resposta.
29,27,O,REPLACE,P2
30,28,K,REPLACE,não agendar (frio)
30,28,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome; sem resposta.
30,28,O,REPLACE,P2
31,29,K,REPLACE,não agendar (frio)
31,29,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome/concurso; sem resposta.
31,29,O,REPLACE,P2
32,30,K,REPLACE,não agendar (frio)
32,30,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome; sem resposta.
32,30,O,REPLACE,P2
33,31,K,REPLACE,não agendar (frio)
33,31,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome/concurso; sem resposta.
33,31,O,REPLACE,P2
34,32,K,REPLACE,não agendar (frio)
34,32,L,APPEND,FOLLOW-UP 15/09 (P2): Só clique; sem resposta.
34,32,O,REPLACE,P2
35,33,K,REPLACE,não agendar (frio)
35,33,L,APPEND,FOLLOW-UP 15/09 (P2): Resposta da equipe ~11h após lead; sem resposta seguinte.
35,33,O,REPLACE,P2
36,34,K,REPLACE,não agendar (frio)
36,34,L,APPEND,FOLLOW-UP 15/09 (P2): Só clique; sem resposta.
36,34,O,REPLACE,P2
37,35,K,REPLACE,não agendar (frio)
37,35,L,APPEND,FOLLOW-UP 15/09 (P3): Sem interação real (só registro de clique); sem telefone.
37,35,O,REPLACE,P3
38,36,K,REPLACE,não agendar (frio)
38,36,L,APPEND,FOLLOW-UP 15/09 (P2): Concurso Marinha não atendido; equipe respondeu com áudio; sem resposta do lead.
38,36,O,REPLACE,P2
39,37,K,REPLACE,não agendar (frio)
39,37,L,APPEND,FOLLOW-UP 15/09 (P2): Curso Bombeiro não confirmado; sem telefone.
39,37,O,REPLACE,P2
40,38,K,REPLACE,15/09/2026
40,38,L,APPEND,FOLLOW-UP 15/09 (P1): Equipe ofereceu turmas a partir de 14/09 e 19/09; pediu nome; sem resposta.
40,38,O,REPLACE,P1
41,39,K,REPLACE,não agendar (frio)
41,39,L,APPEND,FOLLOW-UP 15/09 (P2): Mensagem genérica de clique PMERJ; sem resposta.
41,39,O,REPLACE,P2
42,40,K,REPLACE,não agendar (frio)
42,40,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome/área; sem resposta.
42,40,O,REPLACE,P2
43,41,K,REPLACE,não agendar (frio)
43,41,L,APPEND,FOLLOW-UP 15/09 (P2): Pedido de nome/dúvida/concurso; sem resposta.
43,41,L,APPEND,Voltou espontaneamente em 02/09 pedindo previsão — responder com turma São Gonçalo 19/09 e reservar aula experimental.
43,41,O,REPLACE,P2
44,42,K,REPLACE,15/09/2026
44,42,L,APPEND,FOLLOW-UP 15/09 (P0): Voltou espontaneamente perguntando previsão da turma; recebeu resposta genérica; turma São Gonçalo abre 19/09.
44,42,O,REPLACE,P0
