ID,Data da ação,Semana,Perfil,Tipo de distribuição,Formato,Tema / Campanha,Pilar,Objetivo,Headline,Texto de apoio,Legenda,CTA,Tags / Hashtags,Roteiro,Ideia de arte / Thumb,Link para arquivo,Responsável,Status,OBS,Avaliação e Aprendizados,Campanha
EPQ-SET-002,05/09/2026,P1,EPQ,Exclusivo,Prova Social,Depoimento: antes e depois do aluno Lucas,Prova Social,Educação,"Lucas começou em março, mudou a estratégia",,Do método para a aprovação.,Conheça o método,#Aprovado #PMERJ #ProvaSocial,,,Conteúdo,Aprovação,,,,
RON-SET-002,09/09/2026,P2,Ronan,Exclusivo,Vídeo,O que eu digo no primeiro minuto de aula,Bastidores e Humanização,Relacionamento,O primeiro minuto define o foco da semana,,Rotina de aula.,,#Bastidores #Ronan,,,Conteúdo,Planejado,,,,
EPQ-SET-003,10/09/2026,P2,EPQ,Exclusivo,Post,Oportunidade: novos editais na região,Editais e Oportunidades,Alcance,Editais abertos: semana 37,,Filtre por objetivo e estado.,Ver editais,#Editais #Oportunidades,,,Comercial,Publicado,Avaliar até 17/09,,,
INT-SET-002,11/09/2026,P2,EPQ,Integrado,Campanha,SES: semana de inscrição aberta,Editais e Oportunidades,Conversão,SES com inscrição aberta: última chance,,EPQ orienta. Ronan estimula.,,#SES #Edital,,,Comercial,Planejado,,,,Bolsão
EPQ-SET-004,12/09/2026,P2,EPQ,Exclusivo,Carrossel,Matéria difícil: como dividir a semana,Estude Melhor,Educação,Matéria difícil sem travar o cronograma,,Rotação + revisão espaçada.,,#Estudo #EPQ,,,Conteúdo,Planejado,,,,
RON-SET-003,16/09/2026,P3,Ronan,Exclusivo,Reel,Por que alguns alunos passam e outros param na metade,Mito x Verdade,Alcance,"A diferença não é sorte, é consistência",,"Direto, opinativo.",,#Consistência #Ronan,,,Conteúdo,Planejado,,,,
EPQ-SET-005,17/09/2026,P3,EPQ,Exclusivo,Story,Enquete: qual edital você segue?,Comunidade,Engajamento,"PMERJ, Guarda, SES ou outro?",,Use a enquete do Stories.,,#TimeEPQ,,,Conteúdo,Planejado,,,,
EPQ-SET-006,18/09/2026,P3,EPQ,Exclusivo,Post,Prova social: 12 alunos aprovados em julho,Prova Social,Educação,Resultados reais em editais de segurança,,Números e breve contexto.,Conheça o método,#Aprovados #Resultados,,,Conteúdo,Agendar,,,,
EPQ-OUT-001,01/10/2026,P1,EPQ,Exclusivo,Post,"Outubro: foco, revisão e prova social",Estude Melhor,Educação,Comece outubro sem carregar erros,,"Revisão primeiro, conteúdo depois.",,#Outubro #EPQ,,,Conteúdo,Planejado,,,,
RON-OUT-001,02/10/2026,P1,Ronan,Exclusivo,Reel,Erro que derruba ritmo de estudos,Erros Comuns,Educação,O erro que mais atrasa alunos,,Direto e pessoal.,,#ErrosComuns #Ronan,,,Conteúdo,Ideia,,,,
INT-OUT-001,03/10/2026,P1,EPQ,Integrado,Carrossel + Reel,Motivação não sustenta estudo longo,Mito x Verdade,Alcance,"Motivação ajuda, mas método sustenta",,EPQ mostra método. Ronan diz por quê.,,#MitoVerdade #Estudo,,,Conteúdo,Planejado,,,,Bolsão
EPQ-OUT-002,06/10/2026,P2,EPQ,Exclusivo,Prova Social,Depoimento em vídeo: Giovana — SES,Prova Social,Educação,Giovana mudou de área e passou,,Depoimento real + foto.,Conheça o método,#ProvaSocial #SES,,,Conteúdo,Planejado,,,,
RON-OUT-002,07/10/2026,P2,Ronan,Exclusivo,Vídeo,O método por trás da correção de questões,Autoridade e Método,Autoridade,Corrigir questões também é ensinar padrões,,Mostrar um exemplo real.,,#Método #Ronan,,,Conteúdo,Planejado,,,,
EPQ-OUT-003,08/10/2026,P2,EPQ,Exclusivo,Post,Oportunidade: novos editais outubro,Editais e Oportunidades,Alcance,Editais abertos: semana 40,,Salve e compartilhe.,Ver editais,#Editais #Outubro,,,Comercial,Planejado,,,,
INT-OUT-002,09/10/2026,P2,EPQ,Integrado,Campanha,Guarda Municipal: último mês de inscrição,Editais e Oportunidades,Conversão,GM: inscrição encerra no fim do mês,,EPQ: prazo. Ronan: orientação.,,#GuardaMunicipal #Edital,,,Comercial,Planejado,,,,Bolsão
EPQ-OUT-004,13/10/2026,P3,EPQ,Exclusivo,Carrossel,Ritmo de estudos sem travar no fim de semana,Estude Melhor,Educação,Fim de semana sem perder ritmo,,"Sem exagero, sem culpa.",,#Rotina #EPQ,,,Conteúdo,Planejado,,,,
RON-OUT-003,14/10/2026,P3,Ronan,Exclusivo,Reel,Bastidores: preparando uma aula ao vivo,Bastidores e Humanização,Relacionamento,O que acontece antes da live,,"Humano, simples, direto.",,#Bastidores #Live,,,Conteúdo,Planejado,,,,
EPQ-OUT-005,15/10/2026,P3,EPQ,Exclusivo,Story,Quiz: qual seu maior erro de estudo?,Comunidade,Engajamento,Descubra seu perfil de erro,,Use stickers de quiz.,,#TimeEPQ,,,Conteúdo,Planejado,,,,
EPQ-NOV-001,04/11/2026,P1,EPQ,Exclusivo,Post,Novembro: revisão e provas próximas,Estude Melhor,Educação,Mês de revisão e provas: organize agora,,"Menos conteúdo, mais revisão.",,#Novembro #Revisão,,,Conteúdo,Planejado,,,,
RON-NOV-001,05/11/2026,P1,Ronan,Exclusivo,Reel,Ansiedade na véspera: o que eu faço,Bastidores e Humanização,Relacionamento,Véspera de prova: dica pessoal,,Simples e calmo.,,#Véspera #Ronan,,,Conteúdo,Ideia,,,,
INT-NOV-001,06/11/2026,P1,EPQ,Integrado,Carrossel + Reel,Ansiedade não melhora desempenho? mito ou verdade,Mito x Verdade,Alcance,"Ansiedade atrapalha, mas pode ser controlada",,EPQ: técnica. Ronan: vivência.,,#Ansiedade #MitoVerdade,,,Conteúdo,Planejado,,,,Bolsão
EPQ-NOV-002,07/11/2026,P1,EPQ,Exclusivo,Prova Social,História: de reprovado a aprovado em 6 meses,Prova Social,Educação,Ele trocou método e mudou o resultado,,Números e sensação.,Conheça o método,#ProvaSocial #História,,,Conteúdo,Planejado,,,,
RON-NOV-002,11/11/2026,P2,Ronan,Exclusivo,Vídeo,O que eu diria para quem estuda há meses sem passar,Autoridade e Método,Autoridade,A mensagem que falta para muitos alunos,,"Sem julgamento, com direção.",,#Autoridade #Ronan,,,Conteúdo,Planejado,,,,
EPQ-NOV-003,12/11/2026,P2,EPQ,Exclusivo,Post,Oportunidade: editais de fim de ano,Editais e Oportunidades,Alcance,Editais até dezembro: organize-se,,Filtre por data e estado.,Ver editais,#Editais #Oportunidades,,,Comercial,Planejado,,,,
INT-NOV-002,13/11/2026,P2,EPQ,Integrado,Campanha,Black Friday EPQ: condições especiais,Conversão,Conversão,Black Friday com benefício para alunos,,EPQ: regras. Ronan: por que vale a pena.,,#BlackFriday #EPQ,,,Comercial,Planejado,,,,Bolsão
EPQ-NOV-004,14/11/2026,P2,EPQ,Exclusivo,Carrossel,Últimos dias: como revisar sem pânico,Estude Melhor,Educação,Revisão rápida e eficiente,,"Revisão ativa, não passiva.",,#Revisão #EPQ,,,Conteúdo,Planejado,,,,
RON-NOV-003,18/11/2026,P3,Ronan,Exclusivo,Reel,Bastidores: correção de prova real em aula,Bastidores e Humanização,Relacionamento,Erros reais que aparecem na correção,,"Curto, real, sem edição exagerada.",,#Bastidores #Correção,,,Conteúdo,Planejado,,,,
EPQ-DEZ-001,02/12/2026,P1,EPQ,Exclusivo,Post,Dezembro: resultados e planejamento 2027,Estude Melhor,Educação,Feche o ano e projete 2027 com método,,Resultados servem de base.,,#Resultados #Planejamento,,,Conteúdo,Planejado,,,,
RON-DEZ-001,03/12/2026,P1,Ronan,Exclusivo,Reel,Erro que se repete todos os anos,Erros Comuns,Educação,"Mesmo erro, ano após ano",,Direto e didático.,,#ErrosComuns #Ronan,,,Conteúdo,Ideia,,,,
INT-DEZ-001,04/12/2026,P1,EPQ,Integrado,Carrossel + Reel,Fim de ano: descanso sem abandonar o estudo,Mito x Verdade,Alcance,Descansar não significa abandonar o estudo,,EPQ: rotina leve. Ronan: experiência.,,#Descanso #Estudo,,,Conteúdo,Planejado,,,,Bolsão
EPQ-DEZ-002,05/12/2026,P1,EPQ,Exclusivo,Prova Social,Prova social: aprovações de dezembro,Prova Social,Educação,Resultados que fecham o ano,,Foco na marca EPQ.,,#Aprovados #Resultados,,,Conteúdo,Planejado,,,,
RON-DEZ-002,09/12/2026,P2,Ronan,Exclusivo,Vídeo,Retrospectiva do ano como professor,Bastidores e Humanização,Relacionamento,O que mudou na minha sala em 2026,,"Pessoal, próximo, sem comercial.",,#Retrospectiva #Ronan,,,Conteúdo,Planejado,,,,
EPQ-DEZ-003,10/12/2026,P2,EPQ,Exclusivo,Post,Oportunidade: planejamento de editais 2027,Editais e Oportunidades,Alcance,Prepare 2027 com antecedência,,Guia rápido.,Ver guia,#Planejamento2027 #Editais,,,Comercial,Planejado,,,,
